212 ; 272
754 ; 463
1292 ; 651
1835 ; 855
1821 ; 797
2714 ; 1104
3040 ; 1255
3336 ; 1546
4889 ; 2198
4793 ; 2224
5124 ; 2571
7167 ; 3300
9516 ; 4518
11869 ; 6025
7340 ; 3946
7866 ; 4256
8766 ; 5238
9518 ; 5671
9053 ; 5510
9904 ; 6182
10591 ; 6785
10803 ; 7124
11212 ; 7613
12474 ; 8652
12363 ; 8790
13112 ; 9565
15623 ; 11576
14680 ; 11165
15004 ; 11688
15382 ; 12268
16512 ; 13425
17998 ; 14901
18012 ; 15199
18649 ; 16131
18637 ; 16474
19256 ; 17282
19613 ; 17921
21139 ; 19666
21228 ; 20116
22072 ; 21262
22127 ; 21792
23220 ; 23219
23503 ; 23899
24047 ; 24854
24705 ; 25934
25264 ; 26878
27279 ; 29443
26751 ; 29421
27225 ; 30396
27777 ; 31454
28714 ; 32874
28916 ; 33711
29973 ; 35397
31385 ; 37764
32094 ; 38735
31756 ; 39061
32795 ; 40810
33162 ; 41793
33768 ; 43090
34571 ; 44758
